"ID";"Lagerort";"x_Koordinate";"y_Koordinate";"z_Koordinate"; 
"500";"0";"7750";"4200";"2575"; 
"501";"0";"150";"5200";"2575"; 
"502";"0";"550";"5200";"2575"; 
"503";"0";"950";"5200";"2575"; 
"504";"0";"1350";"5200";"2575"; 
"505";"0";"1750";"5200";"2575"; 
"506";"0";"2150";"5200";"2575"; 
"507";"0";"2550";"5200";"2575"; 
"508";"0";"2950";"5200";"2575"; 
"509";"0";"3350";"5200";"2575"; 
"510";"0";"3750";"5200";"2575"; 
"511";"0";"4150";"5200";"2575"; 
"512";"0";"4550";"5200";"2575"; 
"513";"0";"4950";"5200";"2575"; 
"514";"0";"5350";"5200";"2575"; 
"515";"0";"5750";"5200";"2575"; 
"516";"0";"6150";"5200";"2575"; 
"517";"0";"6550";"5200";"2575"; 
"518";"0";"6950";"5200";"2575"; 
"519";"0";"7350";"5200";"2575"; 
"520";"0";"7750";"5200";"2575"; 
"521";"0";"150";"6100";"2575"; 
"522";"0";"550";"6100";"2575"; 
"523";"0";"950";"6100";"2575"; 
"524";"0";"1350";"6100";"2575"; 
"525";"0";"1750";"6100";"2575"; 
"526";"0";"2150";"6100";"2575"; 
"527";"0";"2550";"6100";"2575"; 
"528";"0";"2950";"6100";"2575"; 
"529";"0";"3350";"6100";"2575"; 
"530";"0";"3750";"6100";"2575"; 
"531";"0";"4150";"6100";"2575"; 
"532";"0";"4550";"6100";"2575"; 
"533";"0";"4950";"6100";"2575"; 
"534";"0";"5350";"6100";"2575"; 
"535";"0";"5750";"6100";"2575"; 
"536";"0";"6150";"6100";"2575"; 
"537";"0";"6550";"6100";"2575"; 
"538";"0";"6950";"6100";"2575"; 
"539";"0";"7350";"6100";"2575"; 
"540";"0";"7750";"6100";"2575"; 
"541";"0";"150";"7100";"2575"; 
"542";"0";"550";"7100";"2575"; 
"543";"0";"950";"7100";"2575"; 
"544";"0";"1350";"7100";"2575"; 
"545";"0";"1750";"7100";"2575"; 
"546";"0";"2150";"7100";"2575"; 
"547";"0";"2550";"7100";"2575"; 
"548";"0";"2950";"7100";"2575"; 
"549";"0";"3350";"7100";"2575"; 
"550";"0";"3750";"7100";"2575"; 
"551";"0";"4150";"7100";"2575"; 
"552";"0";"4550";"7100";"2575"; 
"553";"0";"4950";"7100";"2575"; 
"554";"0";"5350";"7100";"2575"; 
"555";"0";"5750";"7100";"2575"; 
"556";"0";"6150";"7100";"2575"; 
"557";"0";"6550";"7100";"2575"; 
"558";"0";"6950";"7100";"2575"; 
"559";"0";"7350";"7100";"2575"; 
"560";"0";"7750";"7100";"2575"; 
"561";"0";"150";"8000";"2575"; 
"562";"0";"550";"8000";"2575"; 
"563";"0";"950";"8000";"2575"; 
"564";"0";"1350";"8000";"2575"; 
"565";"0";"1750";"8000";"2575"; 
"566";"0";"2150";"8000";"2575"; 
"567";"0";"2550";"8000";"2575"; 
"568";"0";"2950";"8000";"2575"; 
"569";"0";"3350";"8000";"2575"; 
"570";"0";"3750";"8000";"2575"; 
"571";"0";"4150";"8000";"2575"; 
"572";"0";"4550";"8000";"2575"; 
"573";"0";"4950";"8000";"2575"; 
"574";"0";"5350";"8000";"2575"; 
"575";"0";"5750";"8000";"2575"; 
"576";"0";"6150";"8000";"2575"; 
"577";"0";"6550";"8000";"2575"; 
"578";"0";"6950";"8000";"2575"; 
"579";"0";"7350";"8000";"2575"; 
"580";"0";"7750";"8000";"2575"; 
"581";"0";"150";"9000";"2575"; 
"582";"0";"550";"9000";"2575"; 
"583";"0";"950";"9000";"2575"; 
"584";"0";"1350";"9000";"2575"; 
"585";"0";"1750";"9000";"2575"; 
"586";"0";"2150";"9000";"2575"; 
"587";"0";"2550";"9000";"2575"; 
"588";"0";"2950";"9000";"2575"; 
"589";"0";"3350";"9000";"2575"; 
"590";"0";"3750";"9000";"2575"; 
"591";"0";"4150";"9000";"2575"; 
"592";"0";"4550";"9000";"2575"; 
"593";"0";"4950";"9000";"2575"; 
"594";"0";"5350";"9000";"2575"; 
"595";"0";"5750";"9000";"2575"; 
"596";"0";"6150";"9000";"2575"; 
"597";"0";"6550";"9000";"2575"; 
"598";"0";"6950";"9000";"2575"; 
"599";"0";"7350";"9000";"2575"; 
"600";"0";"7750";"9000";"2575"; 
"601";"0";"150";"400";"2825"; 
"602";"0";"550";"400";"2825"; 
"603";"0";"950";"400";"2825"; 
"604";"0";"1350";"400";"2825"; 
"605";"0";"1750";"400";"2825"; 
"606";"0";"2150";"400";"2825"; 
"607";"0";"2550";"400";"2825"; 
"608";"0";"2950";"400";"2825"; 
"609";"0";"3350";"400";"2825"; 
"610";"0";"3750";"400";"2825"; 
"611";"0";"4150";"400";"2825"; 
"612";"0";"4550";"400";"2825"; 
"613";"0";"4950";"400";"2825"; 
"614";"0";"5350";"400";"2825"; 
"615";"0";"5750";"400";"2825"; 
"616";"0";"6150";"400";"2825"; 
"617";"0";"6550";"400";"2825"; 
"618";"0";"6950";"400";"2825"; 
"619";"0";"7350";"400";"2825"; 
"620";"0";"7750";"400";"2825"; 
"621";"0";"150";"1400";"2825"; 
"622";"0";"550";"1400";"2825"; 
"623";"0";"950";"1400";"2825"; 
"624";"0";"1350";"1400";"2825"; 
"625";"0";"1750";"1400";"2825"; 
"626";"0";"2150";"1400";"2825"; 
"627";"0";"2550";"1400";"2825"; 
"628";"0";"2950";"1400";"2825"; 
"629";"0";"3350";"1400";"2825"; 
"630";"0";"3750";"1400";"2825"; 
"631";"0";"4150";"1400";"2825"; 
"632";"0";"4550";"1400";"2825"; 
"633";"0";"4950";"1400";"2825"; 
"634";"0";"5350";"1400";"2825"; 
"635";"0";"5750";"1400";"2825"; 
"636";"0";"6150";"1400";"2825"; 
"637";"0";"6550";"1400";"2825"; 
"638";"0";"6950";"1400";"2825"; 
"639";"0";"7350";"1400";"2825"; 
"640";"0";"7750";"1400";"2825"; 
"641";"0";"150";"2300";"2825"; 
"642";"0";"550";"2300";"2825"; 
